Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common,1,RaspberryPi_Pico,
"C1, C2, C4",C_Disc_D4.3mm_W1.9mm_P5.00mm,3,100nf,
"C3, C5, C6",CP_Radial_D5.0mm_P2.00mm,3,100uf,
C7,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,10nf,
C9,CP_Radial_D6.3mm_P2.50mm,1,1000uf,
"CUTOFF1, DELAY1, RESONANCE1",Potentiometer_Alps_RK09K_Single_Vertical,3,10K,
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Sync_In,
J2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Output,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Socket,
LEVEL1,Potentiometer_Alps_RK09K_Single_Vertical,1,50K,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.3K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,16,~,
"SW17, SW18",SW_SPDT_Toggle_QuarterInch_Bushing,2,SW_SPDT,
U1,TFT_2.8in_ILI9341,1,TFT_2.8in_ILI9341,
