Designator,Mid X,Mid Y,Rotation,Layer
A1,91.235,-43.98,90.0,bottom
C1,139.34,-56.2,0.0,bottom
C2,139.34,-52.95,0.0,bottom
C3,137.04,-47.36,0.0,bottom
C4,148.04,-52.95,180.0,bottom
C5,144.1,-47.36,0.0,bottom
C6,151.294888,-47.37,180.0,bottom
C7,148.0,-56.07,180.0,bottom
C9,61.75,-83.2,0.0,bottom
CUTOFF1,137.96,-68.15,90.0,top
DELAY1,195.86,-68.15,90.0,top
J1,147.84,-35.495,0.0,top
J2,185.98,-35.495,0.0,top
J3,209.34,-52.06,270.0,bottom
LEVEL1,166.91,-39.64,90.0,top
R1,151.85,-66.87,180.0,bottom
R3,151.85,-71.4,0.0,bottom
RESONANCE1,166.91,-68.15,90.0,top
SW1,60.8,-98.12,0.0,top
SW10,80.1,-117.42,0.0,top
SW11,99.4,-117.42,0.0,top
SW12,118.7,-117.42,0.0,top
SW13,138.0,-117.42,0.0,top
SW14,157.3,-117.42,0.0,top
SW15,176.6,-117.42,0.0,top
SW16,195.9,-117.42,0.0,top
SW17,200.1,-36.19,90.0,top
SW18,133.69,-36.19,90.0,top
SW2,80.1,-98.12,0.0,top
SW3,99.4,-98.12,0.0,top
SW4,118.7,-98.12,0.0,top
SW5,138.0,-98.12,0.0,top
SW6,157.3,-98.12,0.0,top
SW7,176.6,-98.12,0.0,top
SW8,195.9,-98.12,0.0,top
SW9,60.8,-117.42,0.0,top
U1,86.945,-54.17,90.0,top
